,Nom de cuisine,URL de Dbpedia,URL de Wikipedia
1,['Cajun cuisine'],http://dbpedia.org/resource/Cajun_cuisine,<http://www.wikidata.org/entity/Q969579>
7,['Chettinad cuisine'],http://dbpedia.org/resource/Chettinad_cuisine,<http://www.wikidata.org/entity/Q3525354>
8,['Bouchon'],http://dbpedia.org/resource/Bouchon,<http://www.wikidata.org/entity/Q3006973>
9,['tea culture'],http://dbpedia.org/resource/Tea_culture,<http://www.wikidata.org/entity/Q4348225>
10,['Ancient Egyptian cuisine'],http://dbpedia.org/resource/Ancient_Egyptian_cuisine,<http://www.wikidata.org/entity/Q432535>
11,['vegetarian cuisine'],http://dbpedia.org/resource/Vegetarian_cuisine,<http://www.wikidata.org/entity/Q638022>
12,['Levantine cuisine'],http://dbpedia.org/resource/Levantine_cuisine,<http://www.wikidata.org/entity/Q765174>
13,['seafood'],http://dbpedia.org/resource/Seafood,<http://www.wikidata.org/entity/Q192935>
14,['Aztec cuisine'],http://dbpedia.org/resource/Aztec_cuisine,<http://www.wikidata.org/entity/Q2006309>
15,['Creole cuisine'],http://dbpedia.org/resource/Creole_cuisine,<http://www.wikidata.org/entity/Q85430164>
16,['Roman cuisine'],http://dbpedia.org/resource/Roman_cuisine,<http://www.wikidata.org/entity/Q3699146>
19,['Makki di roti'],http://dbpedia.org/resource/Makki_di_roti,<http://www.wikidata.org/entity/Q5408968>
20,['Western cuisine'],http://dbpedia.org/resource/European_cuisine,<http://www.wikidata.org/entity/Q16143746>
21,['New Mexican cuisine'],http://dbpedia.org/resource/New_Mexican_cuisine,<http://www.wikidata.org/entity/Q7010123>
23,['Saint Louis cuisine'],http://dbpedia.org/resource/St._Louis_cuisine,<http://www.wikidata.org/entity/Q16984298>
24,['Christmas Island cuisine'],http://dbpedia.org/resource/Christmas_Island_cuisine,<http://www.wikidata.org/entity/Q17002293>
26,['Nordic cuisine'],http://dbpedia.org/resource/Nordic_cuisine,<http://www.wikidata.org/entity/Q20892186>
27,['Anglo-Indian cuisine'],http://dbpedia.org/resource/Anglo-Indian_cuisine,<http://www.wikidata.org/entity/Q3595124>
28,['New American cuisine'],http://dbpedia.org/resource/New_American_cuisine,<http://www.wikidata.org/entity/Q7005323>
29,['Saint Barthélemy cuisine'],http://dbpedia.org/resource/Saint_Barthélemy_cuisine,<http://www.wikidata.org/entity/Q7401021>
31,['Sakana'],http://dbpedia.org/resource/Sakana,<http://www.wikidata.org/entity/Q8011654>
34,['tofu'],http://dbpedia.org/resource/Tofu,<http://www.wikidata.org/entity/Q177378>
35,['Jewish cuisine'],http://dbpedia.org/resource/Jewish_cuisine,<http://www.wikidata.org/entity/Q284288>
37,['Chinese cuisine'],http://dbpedia.org/resource/Chinese_cuisine,<http://www.wikidata.org/entity/Q27477249>
38,['Hittite cuisine'],http://dbpedia.org/resource/Hittite_cuisine,<http://www.wikidata.org/entity/Q18164994>
39,['fusion cuisine'],http://dbpedia.org/resource/Fusion_cuisine,<http://www.wikidata.org/entity/Q601763>
40,['jiaozi'],http://dbpedia.org/resource/Jiaozi,<http://www.wikidata.org/entity/Q640769>
41,['Hakka cuisine'],http://dbpedia.org/resource/Hakka_cuisine,<http://www.wikidata.org/entity/Q709287>
42,['Yunnan cuisine'],http://dbpedia.org/resource/Yunnan_cuisine,<http://www.wikidata.org/entity/Q859283>
43,['Mediterranean cuisine'],http://dbpedia.org/resource/Mediterranean_cuisine,<http://www.wikidata.org/entity/Q934309>
44,['Cuisine of the Mid-Atlantic United States'],http://dbpedia.org/resource/Cuisine_of_the_Mid-Atlantic_states,<http://www.wikidata.org/entity/Q19880298>
46,['Cuisine of the Pitcairn Islands and Norfolk Island'],http://dbpedia.org/resource/Cuisine_of_the_Pitcairn_Islands_and_Norfolk_Island,<http://www.wikidata.org/entity/Q29572602>
47,['New Nordic Cuisine'],http://dbpedia.org/resource/New_Nordic_Cuisine,<http://www.wikidata.org/entity/Q3345199>
48,['Italian-American cuisine'],http://dbpedia.org/resource/Italian-American_cuisine,<http://www.wikidata.org/entity/Q3699131>
49,['Giardiniera'],http://dbpedia.org/resource/Giardiniera,<http://www.wikidata.org/entity/Q3763843>
50,['Chifa'],http://dbpedia.org/resource/Chifa,<http://www.wikidata.org/entity/Q5097183>
51,['Korean temple cuisine'],http://dbpedia.org/resource/Korean_temple_cuisine,<http://www.wikidata.org/entity/Q16256231>
52,['Hawaii regional cuisine'],http://dbpedia.org/resource/Hawaii_regional_cuisine,<http://www.wikidata.org/entity/Q17020498>
53,['soul food'],http://dbpedia.org/resource/Soul_food,<http://www.wikidata.org/entity/Q555997>
54,['molecular gastronomy'],http://dbpedia.org/resource/Molecular_gastronomy,<http://www.wikidata.org/entity/Q733573>
56,['Sicilian cuisine'],http://dbpedia.org/resource/Sicilian_cuisine,<http://www.wikidata.org/entity/Q1859351>
57,['cuisine of Meghalaya'],http://dbpedia.org/resource/Meghalayan_cuisine,<http://www.wikidata.org/entity/Q3595460>
58,['Once-a-month cooking'],http://dbpedia.org/resource/Once-a-month_cooking,<http://www.wikidata.org/entity/Q7091754>
59,['English cuisine'],http://dbpedia.org/resource/English_cuisine,<http://www.wikidata.org/entity/Q1261477>
60,['Scottish cuisine'],http://dbpedia.org/resource/Scottish_cuisine,<http://www.wikidata.org/entity/Q1897293>
61,['Gheimeh'],http://dbpedia.org/resource/Gheimeh,<http://www.wikidata.org/entity/Q5556168>
63,['Maharashtrian cuisine'],http://dbpedia.org/resource/Maharashtrian_cuisine,<http://www.wikidata.org/entity/Q7601803>
64,['Global cuisine'],http://dbpedia.org/resource/Global_cuisine,<http://www.wikidata.org/entity/Q17054362>
65,['barbecue'],http://dbpedia.org/resource/Barbecue,<http://www.wikidata.org/entity/Q461696>
66,['anju'],http://dbpedia.org/resource/Anju_(food),<http://www.wikidata.org/entity/Q716622>
67,['Padang food'],http://dbpedia.org/resource/Padang_cuisine,<http://www.wikidata.org/entity/Q954297>
68,['Costa Rican cuisine'],http://dbpedia.org/resource/Costa_Rican_cuisine,<http://www.wikidata.org/entity/Q1066184>
70,['Cuisine of Odisha'],http://dbpedia.org/resource/Cuisine_of_Odisha,<http://www.wikidata.org/entity/Q3954967>
71,['Limburgian cuisine'],http://dbpedia.org/resource/Limburgian_cuisine,<http://www.wikidata.org/entity/Q6549078>
72,['South Asian cuisine'],http://dbpedia.org/resource/Cuisine_of_the_Indian_subcontinent,<http://www.wikidata.org/entity/Q7566053>
73,['comfort food'],http://dbpedia.org/resource/Comfort_food,<http://www.wikidata.org/entity/Q7887327>
74,['Peranakan cuisine'],http://dbpedia.org/resource/Peranakan_cuisine,<http://www.wikidata.org/entity/Q136703>
76,['Sammarinese cuisine'],http://dbpedia.org/resource/Sammarinese_cuisine,<http://www.wikidata.org/entity/Q1036522>
77,['Buddhist cuisine'],http://dbpedia.org/resource/Buddhist_cuisine,<http://www.wikidata.org/entity/Q1326339>
80,['Ancient Greek cuisine'],http://dbpedia.org/resource/Ancient_Greek_cuisine,<http://www.wikidata.org/entity/Q2836985>
81,['Romani cuisine'],http://dbpedia.org/resource/Romani_cuisine,<http://www.wikidata.org/entity/Q20864827>
82,['futurist meals'],http://dbpedia.org/resource/Futurist_cooking,<http://www.wikidata.org/entity/Q3699129>
83,['Cuisine of Saint Helena'],http://dbpedia.org/resource/Cuisine_of_Saint_Helena,<http://www.wikidata.org/entity/Q5192790>
84,['Sephardic Jewish cuisine'],http://dbpedia.org/resource/Sephardic_Jewish_cuisine,<http://www.wikidata.org/entity/Q5192807>
85,['Filipino Chinese cuisine'],http://dbpedia.org/resource/Filipino_Chinese_cuisine,<http://www.wikidata.org/entity/Q5448587>
86,['Pascuense cuisine'],http://dbpedia.org/resource/Pascuense_cuisine,<http://www.wikidata.org/entity/Q7141871>
88,['coo-coo'],http://dbpedia.org/resource/Cou-cou,<http://www.wikidata.org/entity/Q5175921>
90,['kaiseki'],http://dbpedia.org/resource/Kaiseki,<http://www.wikidata.org/entity/Q175595>
91,['indigenous cuisine of the Americas'],http://dbpedia.org/resource/Indigenous_cuisine_of_the_Americas,<http://www.wikidata.org/entity/Q2492088>
92,['Lombard cuisine'],http://dbpedia.org/resource/Lombard_cuisine,<http://www.wikidata.org/entity/Q47176>
93,['cuisine of Kerala'],http://dbpedia.org/resource/Kerala_cuisine,<http://www.wikidata.org/entity/Q3595259>
99,['Ashkenazi Jewish cuisine'],http://dbpedia.org/resource/Ashkenazi_Jewish_cuisine,<http://www.wikidata.org/entity/Q84184760>
100,['broth'],http://dbpedia.org/resource/Broth,<http://www.wikidata.org/entity/Q275068>
101,['mashed potato'],http://dbpedia.org/resource/Mashed_potato,<http://www.wikidata.org/entity/Q322787>
102,['soft drink'],http://dbpedia.org/resource/Soft_drink,<http://www.wikidata.org/entity/Q147538>
103,['dessert'],http://dbpedia.org/resource/Dessert,<http://www.wikidata.org/entity/Q182940>
104,['stinky tofu'],http://dbpedia.org/resource/Stinky_tofu,<http://www.wikidata.org/entity/Q701628>
105,['donburi'],http://dbpedia.org/resource/Donburi,<http://www.wikidata.org/entity/Q1061842>
106,['Ensaïmada'],http://dbpedia.org/resource/Ensaïmada,<http://www.wikidata.org/entity/Q1344218>
121,['tataki'],http://dbpedia.org/resource/Tataki,<http://www.wikidata.org/entity/Q2421293>
122,['taco'],http://dbpedia.org/resource/Taco,<http://www.wikidata.org/entity/Q191655>
124,['Hallaca'],http://dbpedia.org/resource/Hallaca,<http://www.wikidata.org/entity/Q3085085>
125,['dip'],http://dbpedia.org/resource/Dipping_sauce,<http://www.wikidata.org/entity/Q2046560>
129,['li hing mui'],http://dbpedia.org/resource/Li_hing_mui,<http://www.wikidata.org/entity/Q6539361>
130,['fast food'],http://dbpedia.org/resource/Fast_food_restaurant,<http://www.wikidata.org/entity/Q81799>
131,['Pizza bagel'],http://dbpedia.org/resource/Pizza_bagel,<http://www.wikidata.org/entity/Q7199982>
132,['Butterbrot'],http://dbpedia.org/resource/Butterbrot,<http://www.wikidata.org/entity/Q1018075>
133,['porridge'],http://dbpedia.org/resource/Porridge,<http://www.wikidata.org/entity/Q186817>
136,['beef noodle soup'],http://dbpedia.org/resource/Beef_noodle_soup,<http://www.wikidata.org/entity/Q697498>
137,['pretzel'],http://dbpedia.org/resource/Pretzel,<http://www.wikidata.org/entity/Q160525>
138,['beefsteak'],http://dbpedia.org/resource/Beefsteak,<http://www.wikidata.org/entity/Q10859394>
140,['stew'],http://dbpedia.org/resource/Stew,<http://www.wikidata.org/entity/Q2920963>
141,['Chilaquiles'],http://dbpedia.org/resource/Chilaquiles,<http://www.wikidata.org/entity/Q2963582>
142,['Tocino'],http://dbpedia.org/resource/Tocino,<http://www.wikidata.org/entity/Q3544584>
143,['casserole'],http://dbpedia.org/resource/Casserole,<http://www.wikidata.org/entity/Q6501890>
144,['open sandwich'],http://dbpedia.org/resource/Open_sandwich,<http://www.wikidata.org/entity/Q6559431>
145,['tofurkey'],http://dbpedia.org/resource/Tofurkey,<http://www.wikidata.org/entity/Q7813019>
146,['Beirut sandwich'],http://dbpedia.org/resource/Beirute,<http://www.wikidata.org/entity/Q8245687>
147,['cheeseburger'],http://dbpedia.org/resource/Cheeseburger,<http://www.wikidata.org/entity/Q667478>
148,['hot dry noodles'],http://dbpedia.org/resource/Hot_dry_noodles,<http://www.wikidata.org/entity/Q832338>
150,['lumpia Semarang'],http://dbpedia.org/resource/Lumpia_semarang,<http://www.wikidata.org/entity/Q4103061>
151,['mushimono'],http://dbpedia.org/resource/Mushimono,<http://www.wikidata.org/entity/Q6941266>
152,['dim sum'],http://dbpedia.org/resource/Dim_sum,<http://www.wikidata.org/entity/Q339836>
153,['Bak kut teh'],http://dbpedia.org/resource/Bak_kut_teh,<http://www.wikidata.org/entity/Q983160>
154,['norimaki'],http://dbpedia.org/resource/Norimaki,<http://www.wikidata.org/entity/Q10859806>
155,['tong sui'],http://dbpedia.org/resource/Tong_sui,<http://www.wikidata.org/entity/Q2718625>
156,['Chorba frik'],http://dbpedia.org/resource/Chorba_frik,<http://www.wikidata.org/entity/Q2964495>
157,['torta'],http://dbpedia.org/resource/Torta,<http://www.wikidata.org/entity/Q3573026>
158,['jeok'],http://dbpedia.org/resource/Jeok,<http://www.wikidata.org/entity/Q4209872>
159,['animal-source food'],http://dbpedia.org/resource/Animal_source_foods,<http://www.wikidata.org/entity/Q4764984>
161,['nimono'],http://dbpedia.org/resource/Nimono,<http://www.wikidata.org/entity/Q7037735>
163,['chicken Kiev'],http://dbpedia.org/resource/Chicken_Kiev,<http://www.wikidata.org/entity/Q542283>
164,['staple food'],http://dbpedia.org/resource/Staple_food,<http://www.wikidata.org/entity/Q736427>
165,['baozi'],http://dbpedia.org/resource/Baozi,<http://www.wikidata.org/entity/Q1137679>
166,['katemeshi'],http://dbpedia.org/resource/Katemeshi,<http://www.wikidata.org/entity/Q1735816>
168,['hotdish'],http://dbpedia.org/resource/Hotdish,<http://www.wikidata.org/entity/Q5911091>
