Nom de film,URL de Dbpedia,URL de Wikipedia
['Anna Karénine'],http://dbpedia.org/resource/Anna_Karenina_(2012_film),<http://www.wikidata.org/entity/Q80204>
['Shadow Dancer'],http://dbpedia.org/resource/Shadow_Dancer_(film),<http://www.wikidata.org/entity/Q335736>
['Upside Down'],http://dbpedia.org/resource/Upside_Down_(2012_film),<http://www.wikidata.org/entity/Q769527>
['Sur la route'],http://dbpedia.org/resource/On_the_Road_(2012_film),<http://www.wikidata.org/entity/Q938858>
['Paranoia'],http://dbpedia.org/resource/Paranoia_(2013_film),<http://www.wikidata.org/entity/Q964955>
['Diana'],http://dbpedia.org/resource/Diana_(film),<http://www.wikidata.org/entity/Q1825585>
['360'],http://dbpedia.org/resource/360_(film),<http://www.wikidata.org/entity/Q1653284>
['Thérèse Desqueyroux'],http://dbpedia.org/resource/Thérèse_Desqueyroux_(2012_film),<http://www.wikidata.org/entity/Q2367980>
['Le Grand Soir'],http://dbpedia.org/resource/Le_grand_soir_(film),<http://www.wikidata.org/entity/Q2483156>
['Inside Llewyn Davis'],http://dbpedia.org/resource/Inside_Llewyn_Davis,<http://www.wikidata.org/entity/Q2340655>
['Play'],http://dbpedia.org/resource/Play_(2011_film),<http://www.wikidata.org/entity/Q2614695>
['No'],http://dbpedia.org/resource/No_(2012_film),<http://www.wikidata.org/entity/Q2620241>
['Passion'],http://dbpedia.org/resource/Passion_(2012_film),<http://www.wikidata.org/entity/Q3016883>
['La Religieuse'],http://dbpedia.org/resource/The_Nun_(2013_film),<http://www.wikidata.org/entity/Q2935263>
['Angélique'],http://dbpedia.org/resource/Angélique_(film),<http://www.wikidata.org/entity/Q2849856>
['Au bout du conte'],http://dbpedia.org/resource/Under_the_Rainbow_(2013_film),<http://www.wikidata.org/entity/Q2870309>
['Blood Ties'],http://dbpedia.org/resource/Blood_Ties_(2013_film),<http://www.wikidata.org/entity/Q2906968>
['Camille redouble'],http://dbpedia.org/resource/Camille_Rewinds,<http://www.wikidata.org/entity/Q2935123>
"[""L'Enfant du Sahara""]",vide,<http://www.wikidata.org/entity/Q3203017>
['Non-Stop'],http://dbpedia.org/resource/Non-Stop_(film),<http://www.wikidata.org/entity/Q2855777>
['Après la bataille'],http://dbpedia.org/resource/After_the_Battle_(film),<http://www.wikidata.org/entity/Q2859026>
['Do Not Disturb'],http://dbpedia.org/resource/Do_Not_Disturb_(2012_film),<http://www.wikidata.org/entity/Q3033227>
['Bowling'],vide,<http://www.wikidata.org/entity/Q2922709>
"[""Le Fils de l'autre""]",http://dbpedia.org/resource/The_Other_Son,<http://www.wikidata.org/entity/Q2582809>
['Twentynine Palms'],http://dbpedia.org/resource/Twentynine_Palms_(film),<http://www.wikidata.org/entity/Q324013>
"['Snowpiercer, le Transperceneige']",http://dbpedia.org/resource/Snowpiercer,<http://www.wikidata.org/entity/Q492908>
['Maniac'],http://dbpedia.org/resource/Maniac_(2012_film),<http://www.wikidata.org/entity/Q784848>
['Like Someone in Love'],http://dbpedia.org/resource/Like_Someone_in_Love_(film),<http://www.wikidata.org/entity/Q1059733>
['Un plan parfait'],http://dbpedia.org/resource/A_Perfect_Plan,<http://www.wikidata.org/entity/Q1653341>
"[""L'Homme qui a tué Don Quichotte""]",http://dbpedia.org/resource/The_Man_Who_Killed_Don_Quixote,<http://www.wikidata.org/entity/Q2095178>
['Boule et Bill'],vide,<http://www.wikidata.org/entity/Q2921729>
['Le Petit Nicolas'],http://dbpedia.org/resource/Little_Nicholas,<http://www.wikidata.org/entity/Q2270093>
['Moloch Tropical'],http://dbpedia.org/resource/Moloch_Tropical,<http://www.wikidata.org/entity/Q2894345>
['Möbius'],http://dbpedia.org/resource/Möbius_(film),<http://www.wikidata.org/entity/Q3207829>
['The Artist'],http://dbpedia.org/resource/The_Artist_(film),<http://www.wikidata.org/entity/Q171861>
['Laurence Anyways'],http://dbpedia.org/resource/Laurence_Anyways,<http://www.wikidata.org/entity/Q2615443>
['Boro in the Box'],vide,<http://www.wikidata.org/entity/Q2911227>
['Les Seigneurs'],http://dbpedia.org/resource/The_Dream_Team_(2012_film),<http://www.wikidata.org/entity/Q2943389>
['Cherchez Hortense'],http://dbpedia.org/resource/Looking_for_Hortense,<http://www.wikidata.org/entity/Q2962721>
"[""Confession d'un enfant du siècle""]",http://dbpedia.org/resource/Confession_of_a_Child_of_the_Century,<http://www.wikidata.org/entity/Q2992430>
['The Bling Ring'],http://dbpedia.org/resource/The_Bling_Ring,<http://www.wikidata.org/entity/Q3077738>
['La Grande Boucle'],vide,<http://www.wikidata.org/entity/Q3209460>
['La Pièce manquante'],vide,<http://www.wikidata.org/entity/Q3211675>
"[""L'Extravagant Voyage du jeune et prodigieux T. S. Spivet""]",http://dbpedia.org/resource/The_Young_and_Prodigious_T._S._Spivet,<http://www.wikidata.org/entity/Q211222>
['Malavita'],http://dbpedia.org/resource/The_Family_(2013_film),<http://www.wikidata.org/entity/Q3061609>
['100% cachemire'],http://dbpedia.org/resource/The_Ultimate_Accessory,<http://www.wikidata.org/entity/Q2806613>
"[""De l'autre côté du périph""]",http://dbpedia.org/resource/On_the_Other_Side_of_the_Tracks,<http://www.wikidata.org/entity/Q3020363>
['Insaisissables'],http://dbpedia.org/resource/Now_You_See_Me_(film),<http://www.wikidata.org/entity/Q499851>
['Hannah Arendt'],http://dbpedia.org/resource/Hannah_Arendt_(film),<http://www.wikidata.org/entity/Q1575773>
['A.C.A.B.: All Cops Are Bastards'],http://dbpedia.org/resource/ACAB_–_All_Cops_Are_Bastards,<http://www.wikidata.org/entity/Q2056404>
['La Pirogue'],http://dbpedia.org/resource/The_Pirogue,<http://www.wikidata.org/entity/Q3211653>
['Cinema Paradiso'],http://dbpedia.org/resource/Cinema_Paradiso,<http://www.wikidata.org/entity/Q464032>
['Just the Wind'],http://dbpedia.org/resource/Just_the_Wind,<http://www.wikidata.org/entity/Q1142649>
['La Petite Venise'],http://dbpedia.org/resource/Shun_Li_and_the_Poet,<http://www.wikidata.org/entity/Q2021294>
"[""L'Ordre et la Morale""]",http://dbpedia.org/resource/Rebellion_(2011_film),<http://www.wikidata.org/entity/Q2062814>
['El muerto y ser feliz'],vide,<http://www.wikidata.org/entity/Q3050333>
"[""Jimmy P. (Psychothérapie d'un Indien des Plaines)""]",http://dbpedia.org/resource/Jimmy_P:_Psychotherapy_of_a_Plains_Indian,<http://www.wikidata.org/entity/Q3179108>
"[""L'Étrange couleur des larmes de ton corps""]",http://dbpedia.org/resource/The_Strange_Colour_of_Your_Body's_Tears,<http://www.wikidata.org/entity/Q3205538>
"[""Chroniques sexuelles d'une famille d'aujourd'hui""]",http://dbpedia.org/resource/Sexual_Chronicles_of_a_French_Family,<http://www.wikidata.org/entity/Q2966815>
['Dans la maison'],http://dbpedia.org/resource/In_the_House_(film),<http://www.wikidata.org/entity/Q119526>
['Grace de Monaco'],http://dbpedia.org/resource/Grace_of_Monaco_(film),<http://www.wikidata.org/entity/Q137098>
['Paradis : Amour'],http://dbpedia.org/resource/Paradise:_Love,<http://www.wikidata.org/entity/Q1033185>
['Un heureux événement'],http://dbpedia.org/resource/A_Happy_Event,<http://www.wikidata.org/entity/Q2188914>
['Blancanieves'],http://dbpedia.org/resource/Blancanieves,<http://www.wikidata.org/entity/Q1589300>
['Au bonheur des ogres'],http://dbpedia.org/resource/The_Scapegoat_(2013_film),<http://www.wikidata.org/entity/Q2870286>
"[""Des gens qui s'embrassent""]",vide,<http://www.wikidata.org/entity/Q3024113>
['En pays cannibale'],vide,<http://www.wikidata.org/entity/Q3053594>
['En solitaire'],http://dbpedia.org/resource/Turning_Tide,<http://www.wikidata.org/entity/Q3053644>
['Le Théorème Zéro'],http://dbpedia.org/resource/The_Zero_Theorem,<http://www.wikidata.org/entity/Q863811>
['La Terre outragée'],http://dbpedia.org/resource/Land_of_Oblivion,<http://www.wikidata.org/entity/Q2337640>
['Au-delà des collines'],http://dbpedia.org/resource/Beyond_the_Hills,<http://www.wikidata.org/entity/Q2522756>
['Casse-tête chinois'],http://dbpedia.org/resource/Chinese_Puzzle,<http://www.wikidata.org/entity/Q2941237>
['Dors mon lapin'],vide,<http://www.wikidata.org/entity/Q3037243>
['De toutes nos forces'],http://dbpedia.org/resource/The_Finishers,<http://www.wikidata.org/entity/Q3205392>
['Paulette'],http://dbpedia.org/resource/Paulette_(film),<http://www.wikidata.org/entity/Q3372619>
"['La Vierge, les Coptes et moi...']","http://dbpedia.org/resource/The_Virgin,_the_Copts_and_Me",<http://www.wikidata.org/entity/Q3213750>
['Le Mentor'],http://dbpedia.org/resource/Le_Mentor,<http://www.wikidata.org/entity/Q3224497>
"[""Le Temps de l'aventure""]",vide,<http://www.wikidata.org/entity/Q3227564>
['Les Gamins'],http://dbpedia.org/resource/Les_gamins,<http://www.wikidata.org/entity/Q3232908>
['Les Lendemains'],vide,<http://www.wikidata.org/entity/Q3233516>
['Les Derniers Jours'],http://dbpedia.org/resource/The_Last_Days_(2013_film),<http://www.wikidata.org/entity/Q3259795>
"[""Duo d'escrocs""]",http://dbpedia.org/resource/The_Love_Punch,<http://www.wikidata.org/entity/Q3264200>
['Ouf'],http://dbpedia.org/resource/Nuts_(2012_film),<http://www.wikidata.org/entity/Q3358108>
['Paris à tout prix'],vide,<http://www.wikidata.org/entity/Q3365358>
['Rendez-vous à Kiruna'],vide,<http://www.wikidata.org/entity/Q3425287>
['Tip Top'],http://dbpedia.org/resource/Tip_Top_(film),<http://www.wikidata.org/entity/Q3529263>
['Tom à la ferme'],http://dbpedia.org/resource/Tom_at_the_Farm,<http://www.wikidata.org/entity/Q3530946>
['Vive la France'],http://dbpedia.org/resource/Vive_la_France,<http://www.wikidata.org/entity/Q3561465>
['Wolves'],http://dbpedia.org/resource/Wolves_(2014_film),<http://www.wikidata.org/entity/Q3569742>
['Zulu'],http://dbpedia.org/resource/Zulu_(2013_film),<http://www.wikidata.org/entity/Q3576280>
['Turf'],vide,<http://www.wikidata.org/entity/Q3542287>
['Q5823103'],vide,<http://www.wikidata.org/entity/Q5823103>
['Q5967392'],"http://dbpedia.org/resource/I,_Anna",<http://www.wikidata.org/entity/Q5967392>
['Vandal'],vide,<http://www.wikidata.org/entity/Q3554476>
['Renoir'],http://dbpedia.org/resource/Renoir_(film),<http://www.wikidata.org/entity/Q3425503>
['La Belle et la Bête'],http://dbpedia.org/resource/Beauty_and_the_Beast_(2014_film),<http://www.wikidata.org/entity/Q3206615>
['Le Grand Méchant Loup'],http://dbpedia.org/resource/The_Big_Bad_Wolf_(2013_film),<http://www.wikidata.org/entity/Q3223278>
['Perfect Mothers'],http://dbpedia.org/resource/Adoration_(2013_film),<http://www.wikidata.org/entity/Q3233052>
['Les Profs'],http://dbpedia.org/resource/Serial_Teachers,<http://www.wikidata.org/entity/Q3234929>
"[""Le Voyage d'Inuk""]",http://dbpedia.org/resource/Inuk_(film),<http://www.wikidata.org/entity/Q3228255>
['Only Lovers Left Alive'],http://dbpedia.org/resource/Only_Lovers_Left_Alive,<http://www.wikidata.org/entity/Q3352751>
['The Two Faces of January'],http://dbpedia.org/resource/The_Two_Faces_of_January_(film),<http://www.wikidata.org/entity/Q3523132>
